Order_ID,Date,Month,Quarter,Product_Name,Category,Brand,Unit_Price,Discount_Percent,Selling_Price,Quantity,Revenue,Cost,Profit,Profit_Margin_Pct,City,Region,Sales_Channel,Payment_Method,Return_Flag,Customer_Segment,Festival_Season
ORD-10000,2024-11-23,November,Q4,Laptops,Computing,Dell,95400.0,5,90630.0,5,453150.0,283644.3,169505.7,37.41,Delhi,North,Retail Store,EMI,No,Student,True
ORD-10001,2024-01-17,January,Q1,Smartphones,Mobile,Samsung,23700.0,20,18960.0,1,18960.0,15888.57,3071.43,16.2,Jaipur,North,Online,Debit Card,No,Small Business,False
ORD-10002,2024-08-17,August,Q3,Gaming Consoles,Gaming,Microsoft,48300.0,0,48300.0,3,144900.0,101685.24,43214.76,29.82,Bangalore,South,Retail Store,Credit Card,No,Enterprise,False
ORD-10003,2024-02-22,February,Q1,Laptops,Computing,Asus,34200.0,30,23940.0,3,71820.0,63487.979999999996,8332.02,11.6,Hyderabad,South,Distributor,Debit Card,No,Student,False
ORD-10004,2024-02-10,February,Q1,Routers,Networking,Asus,12600.0,20,10080.0,1,10080.0,9161.34,918.66,9.11,Pune,West,Retail Store,Debit Card,No,Small Business,False
ORD-10005,2024-05-28,May,Q2,Laptops,Computing,HP,107300.0,15,91205.0,1,91205.0,64980.31,26224.69,28.75,Pune,West,Online,Credit Card,No,Individual,False
ORD-10006,2024-11-07,November,Q4,Tablets,Mobile,Apple,18200.0,15,15470.0,1,15470.0,10992.61,4477.39,28.94,Jaipur,North,Online,Credit Card,No,Individual,True
ORD-10007,2024-04-27,April,Q2,Smartphones,Mobile,OnePlus,36900.0,0,36900.0,1,36900.0,21852.05,15047.95,40.78,Lucknow,North,Distributor,Credit Card,No,Student,False
ORD-10008,2024-11-25,November,Q4,Air Purifiers,Home Tech,Philips,14300.0,5,13585.0,2,27170.0,19991.34,7178.66,26.42,Jaipur,North,Online,Debit Card,No,Student,True
ORD-10009,2024-07-04,July,Q3,Smart TVs,Entertainment,LG,109300.0,0,109300.0,2,218600.0,153272.8,65327.2,29.88,Delhi,North,Online,UPI,No,Individual,False
ORD-10010,2024-07-16,July,Q3,Cameras,Imaging,Fujifilm,83100.0,20,66480.0,1,66480.0,60011.16,6468.84,9.73,Mumbai,West,Retail Store,UPI,No,Enterprise,False
ORD-10011,2024-11-24,November,Q4,Smartwatches,Wearables,Apple,14300.0,5,13585.0,1,13585.0,9162.65,4422.35,32.55,Hyderabad,South,Corporate,EMI,No,Individual,True
ORD-10012,2024-11-16,November,Q4,Headphones,Audio,Apple,15400.0,5,14630.0,5,73150.0,48108.25,25041.75,34.23,Bangalore,South,Retail Store,EMI,No,Individual,True
ORD-10013,2024-11-02,November,Q4,Smartwatches,Wearables,Noise,2300.0,10,2070.0,2,4140.0,3338.42,801.58,19.36,Hyderabad,South,Online,UPI,No,Individual,True
ORD-10014,2024-02-13,February,Q1,Air Purifiers,Home Tech,Dyson,39200.0,20,31360.0,1,31360.0,27564.14,3795.86,12.1,Bangalore,South,Retail Store,Cash,No,Student,False
ORD-10015,2024-04-18,April,Q2,Routers,Networking,Netgear,11000.0,15,9350.0,3,28050.0,24717.989999999998,3332.01,11.88,Pune,West,Retail Store,Credit Card,No,Small Business,False
ORD-10016,2024-02-02,February,Q1,Smartwatches,Wearables,Apple,27100.0,5,25745.0,2,51490.0,36188.7,15301.3,29.72,Mumbai,West,Online,Debit Card,No,Individual,False
ORD-10017,2024-06-18,June,Q2,Laptops,Computing,Apple,47600.0,25,35700.0,5,178500.0,154005.75,24494.25,13.72,Jaipur,North,Online,Cash,No,Student,False
ORD-10018,2024-05-04,May,Q2,Air Purifiers,Home Tech,Sharp,11700.0,0,11700.0,1,11700.0,7977.02,3722.98,31.82,Pune,West,Retail Store,Credit Card,No,Individual,False
ORD-10019,2024-02-01,February,Q1,Cameras,Imaging,Sony,121700.0,0,121700.0,1,121700.0,72987.3,48712.7,40.03,Chennai,South,Retail Store,UPI,No,Student,False
ORD-10020,2024-05-07,May,Q2,Laptops,Computing,Asus,101800.0,30,71260.0,1,71260.0,67194.62,4065.38,5.7,Mumbai,West,Retail Store,Credit Card,No,Individual,False
ORD-10021,2024-05-01,May,Q2,Tablets,Mobile,Huawei,34300.0,5,32585.0,1,32585.0,24796.5,7788.5,23.9,Mumbai,West,Online,UPI,No,Student,False
ORD-10022,2024-05-26,May,Q2,Cameras,Imaging,Fujifilm,30000.0,10,27000.0,1,27000.0,17806.21,9193.79,34.05,Mumbai,West,Retail Store,Credit Card,No,Individual,False
ORD-10023,2024-01-26,January,Q1,Gaming Consoles,Gaming,Microsoft,37600.0,30,26320.0,3,78960.0,74022.20999999999,4937.79,6.25,Mumbai,West,Corporate,UPI,No,Individual,False
ORD-10024,2024-12-11,December,Q4,Smart TVs,Entertainment,OnePlus,37200.0,20,29760.0,5,148800.0,111459.2,37340.8,25.09,Lucknow,North,Online,UPI,No,Enterprise,True
ORD-10025,2024-05-13,May,Q2,Smart TVs,Entertainment,Samsung,59200.0,15,50320.0,1,50320.0,34109.6,16210.4,32.21,Hyderabad,South,Retail Store,Cash,Yes,Individual,False
ORD-10026,2024-08-22,August,Q3,Gaming Consoles,Gaming,Nintendo,54900.0,0,54900.0,3,164700.0,108294.69,56405.31,34.25,Jaipur,North,Online,Cash,No,Small Business,False
ORD-10027,2024-07-08,July,Q3,Headphones,Audio,Boat,11200.0,20,8960.0,1,8960.0,7735.93,1224.07,13.66,Lucknow,North,Corporate,EMI,No,Enterprise,False
ORD-10028,2024-12-05,December,Q4,Laptops,Computing,HP,50100.0,0,50100.0,5,250500.0,174970.09999999998,75529.9,30.15,Bangalore,South,Online,Debit Card,No,Small Business,True
ORD-10029,2024-12-17,December,Q4,Headphones,Audio,Apple,12500.0,30,8750.0,5,43750.0,35010.0,8740.0,19.98,Kolkata,East,Distributor,UPI,No,Small Business,True
ORD-10030,2024-11-22,November,Q4,Headphones,Audio,Boat,18700.0,20,14960.0,2,29920.0,25848.4,4071.6,13.61,Jaipur,North,Online,UPI,No,Small Business,True
ORD-10031,2024-10-06,October,Q4,Smartphones,Mobile,OnePlus,49900.0,5,47405.0,1,47405.0,31734.27,15670.73,33.06,Mumbai,West,Online,EMI,No,Individual,True
ORD-10032,2024-07-02,July,Q3,Smart TVs,Entertainment,LG,138400.0,10,124560.0,1,124560.0,97713.62,26846.38,21.55,Kolkata,East,Corporate,Debit Card,Yes,Small Business,False
ORD-10033,2024-03-24,March,Q1,Tablets,Mobile,Huawei,11200.0,25,8400.0,2,16800.0,16461.7,338.3,2.01,Kolkata,East,Distributor,EMI,No,Enterprise,False
ORD-10034,2024-03-22,March,Q1,Laptops,Computing,Asus,107900.0,30,75530.0,2,151060.0,139004.98,12055.02,7.98,Chennai,South,Distributor,Credit Card,No,Small Business,False
ORD-10035,2024-04-24,April,Q2,Smartphones,Mobile,Apple,36700.0,10,33030.0,2,66060.0,53058.7,13001.3,19.68,Hyderabad,South,Online,Credit Card,No,Enterprise,False
ORD-10036,2024-01-15,January,Q1,Laptops,Computing,Lenovo,42000.0,10,37800.0,1,37800.0,23421.36,14378.64,38.04,Lucknow,North,Retail Store,Debit Card,No,Individual,False
ORD-10037,2024-07-16,July,Q3,Gaming Consoles,Gaming,Sony,28900.0,25,21675.0,5,108375.0,92077.05,16297.95,15.04,Jaipur,North,Corporate,Credit Card,No,Small Business,False
ORD-10038,2024-07-05,July,Q3,Cameras,Imaging,Canon,142700.0,10,128430.0,4,513720.0,385079.44,128640.56,25.04,Delhi,North,Retail Store,Credit Card,No,Student,False
ORD-10039,2024-06-16,June,Q2,Cameras,Imaging,Sony,86700.0,5,82365.0,1,82365.0,54975.54,27389.46,33.25,Kolkata,East,Retail Store,Cash,No,Enterprise,False
ORD-10040,2024-07-26,July,Q3,Routers,Networking,TP-Link,5300.0,5,5035.0,1,5035.0,3370.68,1664.32,33.06,Lucknow,North,Retail Store,Credit Card,No,Small Business,False
ORD-10041,2024-09-18,September,Q3,Air Purifiers,Home Tech,Philips,28100.0,10,25290.0,2,50580.0,36703.68,13876.32,27.43,Lucknow,North,Online,EMI,No,Enterprise,False
ORD-10042,2024-04-25,April,Q2,Smart TVs,Entertainment,LG,19500.0,5,18525.0,2,37050.0,29124.7,7925.3,21.39,Lucknow,North,Distributor,UPI,No,Small Business,False
ORD-10043,2024-12-22,December,Q4,Cameras,Imaging,Fujifilm,64800.0,5,61560.0,1,61560.0,44142.51,17417.49,28.29,Mumbai,West,Distributor,EMI,No,Student,True
ORD-10044,2024-04-22,April,Q2,Tablets,Mobile,Huawei,12500.0,5,11875.0,2,23750.0,18337.36,5412.64,22.79,Delhi,North,Retail Store,EMI,No,Enterprise,False
ORD-10045,2024-08-14,August,Q3,Gaming Consoles,Gaming,Nintendo,51200.0,15,43520.0,2,87040.0,73330.06,13709.94,15.75,Jaipur,North,Retail Store,UPI,No,Student,False
ORD-10046,2024-05-12,May,Q2,Smart TVs,Entertainment,Samsung,156700.0,20,125360.0,2,250720.0,202744.54,47975.46,19.14,Chennai,South,Online,UPI,No,Enterprise,False
ORD-10047,2024-06-20,June,Q2,Smartwatches,Wearables,Boat,5000.0,5,4750.0,1,4750.0,2981.26,1768.74,37.24,Bangalore,South,Retail Store,UPI,No,Student,False
ORD-10048,2024-07-31,July,Q3,Smartphones,Mobile,Apple,68000.0,15,57800.0,1,57800.0,49705.8,8094.2,14.0,Lucknow,North,Corporate,UPI,No,Student,False
ORD-10049,2024-09-01,September,Q3,Smartphones,Mobile,OnePlus,29500.0,15,25075.0,2,50150.0,42520.68,7629.32,15.21,Kolkata,East,Retail Store,Debit Card,No,Small Business,False
ORD-10050,2024-09-06,September,Q3,Smart TVs,Entertainment,Samsung,95600.0,0,95600.0,2,191200.0,120029.9,71170.1,37.22,Kolkata,East,Retail Store,EMI,No,Individual,False
ORD-10051,2024-07-20,July,Q3,Gaming Consoles,Gaming,Nintendo,43200.0,0,43200.0,1,43200.0,29313.36,13886.64,32.15,Bangalore,South,Distributor,UPI,No,Enterprise,False
ORD-10052,2024-04-18,April,Q2,Air Purifiers,Home Tech,Xiaomi,16800.0,15,14280.0,3,42840.0,30524.82,12315.18,28.75,Kolkata,East,Online,UPI,No,Individual,False
ORD-10053,2024-06-28,June,Q2,Smart TVs,Entertainment,Sony,159500.0,25,119625.0,1,119625.0,89009.23,30615.77,25.59,Mumbai,West,Corporate,UPI,No,Small Business,False
ORD-10054,2024-05-02,May,Q2,Tablets,Mobile,Huawei,43500.0,20,34800.0,2,69600.0,64340.98,5259.02,7.56,Ahmedabad,West,Retail Store,EMI,No,Individual,False
ORD-10055,2024-03-24,March,Q1,Headphones,Audio,Sony,14700.0,10,13230.0,2,26460.0,19555.68,6904.32,26.09,Kolkata,East,Online,Debit Card,No,Small Business,False
ORD-10056,2024-02-22,February,Q1,Headphones,Audio,Apple,20200.0,30,14140.0,1,14140.0,15084.73,-944.73,-6.68,Mumbai,West,Online,Credit Card,No,Enterprise,False
ORD-10057,2024-01-07,January,Q1,Cameras,Imaging,Fujifilm,23000.0,10,20700.0,2,41400.0,31147.38,10252.62,24.76,Ahmedabad,West,Retail Store,Credit Card,No,Enterprise,False
ORD-10058,2024-11-11,November,Q4,Routers,Networking,D-Link,7500.0,30,5250.0,1,5250.0,5221.54,28.46,0.54,Hyderabad,South,Online,UPI,Yes,Enterprise,True
ORD-10059,2024-08-18,August,Q3,Smart TVs,Entertainment,OnePlus,120400.0,25,90300.0,1,90300.0,75346.06,14953.94,16.56,Mumbai,West,Retail Store,Credit Card,No,Enterprise,False
ORD-10060,2024-05-12,May,Q2,Smartwatches,Wearables,Garmin,39800.0,25,29850.0,2,59700.0,57791.3,1908.7,3.2,Jaipur,North,Online,Cash,No,Student,False
ORD-10061,2024-09-07,September,Q3,Routers,Networking,Netgear,10700.0,25,8025.0,1,8025.0,7408.34,616.66,7.68,Ahmedabad,West,Distributor,UPI,No,Small Business,False
ORD-10062,2024-06-05,June,Q2,Gaming Consoles,Gaming,Microsoft,36600.0,20,29280.0,3,87840.0,67938.9,19901.1,22.66,Jaipur,North,Online,Debit Card,No,Enterprise,False
ORD-10063,2024-04-28,April,Q2,Laptops,Computing,HP,55000.0,25,41250.0,2,82500.0,72289.0,10211.0,12.38,Bangalore,South,Online,Debit Card,No,Enterprise,False
ORD-10064,2024-02-21,February,Q1,Smart TVs,Entertainment,Samsung,57100.0,5,54245.0,1,54245.0,34856.9,19388.1,35.74,Jaipur,North,Online,UPI,No,Enterprise,False
ORD-10065,2024-12-23,December,Q4,Tablets,Mobile,Huawei,15100.0,0,15100.0,5,75500.0,50193.35,25306.65,33.52,Ahmedabad,West,Retail Store,Credit Card,Yes,Enterprise,True
ORD-10066,2024-09-01,September,Q3,Laptops,Computing,Dell,63100.0,0,63100.0,5,315500.0,209935.05000000002,105564.95,33.46,Mumbai,West,Online,EMI,Yes,Individual,False
ORD-10067,2024-05-07,May,Q2,Laptops,Computing,Apple,97600.0,20,78080.0,1,78080.0,65316.4,12763.6,16.35,Lucknow,North,Online,Credit Card,No,Student,False
ORD-10068,2024-06-01,June,Q2,Gaming Consoles,Gaming,Microsoft,30700.0,20,24560.0,1,24560.0,17254.81,7305.19,29.74,Delhi,North,Corporate,UPI,No,Individual,False
ORD-10069,2024-03-21,March,Q1,Smart TVs,Entertainment,LG,117100.0,5,111245.0,1,111245.0,64467.67,46777.33,42.05,Ahmedabad,West,Retail Store,Credit Card,No,Enterprise,False
ORD-10070,2024-12-27,December,Q4,Headphones,Audio,Sennheiser,2200.0,5,2090.0,1,2090.0,1616.52,473.48,22.65,Lucknow,North,Retail Store,Cash,No,Small Business,True
ORD-10071,2024-11-27,November,Q4,Tablets,Mobile,Lenovo,51300.0,0,51300.0,1,51300.0,28826.89,22473.11,43.81,Hyderabad,South,Retail Store,EMI,Yes,Student,True
ORD-10072,2024-03-04,March,Q1,Air Purifiers,Home Tech,Xiaomi,29500.0,10,26550.0,2,53100.0,38355.58,14744.42,27.77,Ahmedabad,West,Retail Store,Debit Card,No,Enterprise,False
ORD-10073,2024-11-05,November,Q4,Headphones,Audio,Sony,2700.0,25,2025.0,2,4050.0,3872.84,177.16,4.37,Lucknow,North,Retail Store,UPI,No,Enterprise,True
ORD-10074,2024-10-22,October,Q4,Smartphones,Mobile,Apple,41900.0,25,31425.0,6,188550.0,160505.28,28044.72,14.87,Hyderabad,South,Online,Debit Card,No,Student,True
ORD-10075,2024-02-16,February,Q1,Air Purifiers,Home Tech,Xiaomi,19300.0,10,17370.0,1,17370.0,13201.72,4168.28,24.0,Bangalore,South,Online,Debit Card,No,Student,False
ORD-10076,2024-10-08,October,Q4,Smartphones,Mobile,Xiaomi,14300.0,10,12870.0,2,25740.0,17579.12,8160.88,31.71,Kolkata,East,Distributor,EMI,No,Student,True
ORD-10077,2024-07-30,July,Q3,Smartphones,Mobile,Apple,45300.0,20,36240.0,4,144960.0,127073.48,17886.52,12.34,Ahmedabad,West,Distributor,UPI,No,Enterprise,False
ORD-10078,2024-08-12,August,Q3,Air Purifiers,Home Tech,Dyson,6000.0,25,4500.0,1,4500.0,4030.65,469.35,10.43,Chennai,South,Retail Store,Credit Card,No,Student,False
ORD-10079,2024-02-17,February,Q1,Smart TVs,Entertainment,Sony,100400.0,0,100400.0,2,200800.0,136452.02,64347.98,32.05,Bangalore,South,Retail Store,Debit Card,No,Enterprise,False
ORD-10080,2024-07-31,July,Q3,Air Purifiers,Home Tech,Sharp,13500.0,20,10800.0,1,10800.0,7815.53,2984.47,27.63,Chennai,South,Corporate,Credit Card,No,Individual,False
ORD-10081,2024-05-21,May,Q2,Cameras,Imaging,Sony,140700.0,20,112560.0,3,337680.0,254709.72000000003,82970.28,24.57,Mumbai,West,Online,UPI,No,Student,False
ORD-10082,2024-03-17,March,Q1,Air Purifiers,Home Tech,Sharp,17100.0,20,13680.0,5,68400.0,60070.100000000006,8329.9,12.18,Kolkata,East,Retail Store,Credit Card,No,Small Business,False
ORD-10083,2024-10-19,October,Q4,Cameras,Imaging,Nikon,129600.0,15,110160.0,2,220320.0,144822.68,75497.32,34.27,Ahmedabad,West,Retail Store,EMI,No,Small Business,True
ORD-10084,2024-09-10,September,Q3,Smartphones,Mobile,Apple,44200.0,20,35360.0,1,35360.0,27244.83,8115.17,22.95,Delhi,North,Distributor,Credit Card,No,Student,False
ORD-10085,2024-01-08,January,Q1,Tablets,Mobile,Huawei,53500.0,5,50825.0,3,152475.0,90676.98,61798.02,40.53,Hyderabad,South,Online,Debit Card,No,Enterprise,False
